== apc1/thread0/apc1_perfcl_corner count=32 speed_bin=2 cpr_rev=3 combo=19
corner 1 floor=624000 ceil=656000 ol=656000 last=656000
corner 2 floor=624000 ceil=656000 ol=656000 last=656000
corner 3 floor=624000 ceil=656000 ol=656000 last=656000
corner 4 floor=624000 ceil=656000 ol=656000 last=656000
corner 5 floor=624000 ceil=656000 ol=656000 last=656000
corner 6 floor=624000 ceil=656000 ol=656000 last=656000
corner 7 floor=624000 ceil=656000 ol=656000 last=656000
corner 8 floor=624000 ceil=656000 ol=656000 last=656000
corner 9 floor=624000 ceil=656000 ol=656000 last=656000
corner 10 floor=624000 ceil=656000 ol=656000 last=656000
corner 11 floor=624000 ceil=656000 ol=656000 last=656000
corner 12 floor=624000 ceil=656000 ol=656000 last=656000
corner 13 floor=632000 ceil=660000 ol=660000 last=660000
corner 14 floor=652000 ceil=684000 ol=684000 last=684000
corner 15 floor=676000 ceil=708000 ol=708000 last=708000
corner 16 floor=696000 ceil=728000 ol=728000 last=728000
corner 17 floor=720000 ceil=752000 ol=752000 last=752000
corner 18 floor=744000 ceil=776000 ol=776000 last=776000
corner 19 floor=760000 ceil=792000 ol=792000 last=792000
corner 20 floor=800000 ceil=816000 ol=816000 last=816000
corner 21 floor=852000 ceil=856000 ol=856000 last=856000
corner 22 floor=864000 ceil=904000 ol=904000 last=904000
corner 23 floor=908000 ceil=948000 ol=948000 last=948000
corner 24 floor=956000 ceil=996000 ol=996000 last=996000
corner 25 floor=1004000 ceil=1044000 ol=1044000 last=1044000
corner 26 floor=1044000 ceil=1084000 ol=1084000 last=1084000
corner 27 floor=1076000 ceil=1116000 ol=1116000 last=1116000
corner 28 floor=1096000 ceil=1136000 ol=1136000 last=1136000
corner 29 floor=1096000 ceil=1136000 ol=1136000 last=1136000
corner 30 floor=1096000 ceil=1136000 ol=1136000 last=1136000
corner 31 floor=880000 ceil=880000 ol=880000 last=880000
corner 32 floor=852000 ceil=852000 ol=852000 last=852000
== apc0/thread0/apc0_pwrcl_corner count=24 speed_bin=2 cpr_rev=3 combo=19
corner 1 floor=608000 ceil=640000 ol=640000 last=640000
corner 2 floor=608000 ceil=640000 ol=640000 last=640000
corner 3 floor=608000 ceil=640000 ol=640000 last=640000
corner 4 floor=608000 ceil=640000 ol=640000 last=640000
corner 5 floor=608000 ceil=640000 ol=640000 last=640000
corner 6 floor=608000 ceil=640000 ol=640000 last=640000
corner 7 floor=608000 ceil=640000 ol=640000 last=640000
corner 8 floor=608000 ceil=640000 ol=640000 last=640000
corner 9 floor=620000 ceil=652000 ol=652000 last=652000
corner 10 floor=636000 ceil=668000 ol=668000 last=668000
corner 11 floor=648000 ceil=680000 ol=680000 last=680000
corner 12 floor=656000 ceil=688000 ol=688000 last=688000
corner 13 floor=676000 ceil=708000 ol=708000 last=708000
corner 14 floor=700000 ceil=732000 ol=732000 last=732000
corner 15 floor=720000 ceil=752000 ol=752000 last=752000
corner 16 floor=744000 ceil=776000 ol=776000 last=776000
corner 17 floor=760000 ceil=792000 ol=792000 last=792000
corner 18 floor=800000 ceil=816000 ol=816000 last=816000
corner 19 floor=852000 ceil=864000 ol=864000 last=864000
corner 20 floor=856000 ceil=896000 ol=896000 last=896000
corner 21 floor=884000 ceil=924000 ol=924000 last=924000
corner 22 floor=920000 ceil=960000 ol=960000 last=960000
corner 23 floor=880000 ceil=880000 ol=880000 last=880000
corner 24 floor=852000 ceil=852000 ol=852000 last=852000
